city,State,Geo_CountyName,Hand_CountyName,ProblemCode,Comment
Columbus,OH,"Delaware County, Fairfield County, Franklin County",Franklin County,CommaMatch,
Des Moines,IA,"Polk County, Warren County",Polk County,CommaMatch,
Draper,UT,"Salt Lake County, Utah County",Sal Lake County,CommaMatch,
Aurora,CO,"Adams County, Arapahoe County, Douglas County",Arapahoe County,CommaMatch,
Mabank,TX,"Henderson County, Kaufman County",Henderson County,CommaMatch,guess
Fort Worth,TX,"Denton County, Parker County, Tarrant County, Wise County",Tarrant County,CommaMatch,
Longview,TX,"Gregg County, Harrison County",Gregg County,CommaMatch,
Austin,TX,"Hays County, Travis County, Williamson County",Travis County,CommaMatch,
Houston,TX,"Fort Bend County, Harris County, Montgomery County",Harris County,CommaMatch,
Oklahoma City,OK,"Canadian County, Cleveland County, Oklahoma County, Pottawatomie County",Oklahoma County,CommaMatch,
Dallas,TX,"Collin County, Dallas County, Denton County, Kaufman County, Rockwall County",Dallas County,CommaMatch,
Marana,AZ,"Pima County, Pinal County",Pima County,CommaMatch,
Springfield,MO,"Christian County, Greene County",Greene County,CommaMatch,
Birmingham,AL,"Jefferson County, Shelby County",Jefferson County,CommaMatch,guess
Millbrook,AL,"Autauga County, Elmore County",Autauga County,CommaMatch,
Milwaukee,WI,"Milwaukee County, Washington County, Waukesha County",Milwaukee County,CommaMatch,
Atlanta,GA,"DeKalb County, Fulton County",Fulton County,CommaMatch,
Hoover,AL,"Jefferson County, Shelby County",Jefferson County,CommaMatch,guess
Kansas City,MO,"Cass County, Clay County, Jackson County, Platte County",Jackson County,CommaMatch,
San Antonio,TX,"Bexar County, Comal County, Medina County",Bexar County,CommaMatch,
Portland,OR,"Clackamas County, Multnomah County, Washington County",Multnomah County,CommaMatch,
Baytown,TX,"Chambers County, Harris County",Harris County,CommaMatch,
Tulsa,OK,"Osage County, Rogers County, Tulsa County, Wagoner County",Tulsa County,CommaMatch,
North Charleston,SC,"Berkeley County, Charleston County, Dorchester County",Charleston County,CommaMatch,guess
Edgewood,NM,"Bernalillo County, Sandoval County, Santa Fe County",Santa Fe County,CommaMatch,
Sand Springs,OK,"Osage County, Tulsa County",Tulsa County,CommaMatch,
Chicago,IL,"Cook County, DuPage County",Cook County,CommaMatch,
Irmo,SC,"Lexington County, Richland County",Richland County,CommaMatch,
New York,NY,"Bronx County, Kings County, New York County, Queens County, Richmond County",King County,CommaMatch,guess
Marion,IL,"Johnson County, Williamson County",Williamson County,CommaMatch,
Smyrna,DE,"Kent County, New Castle County",Kent County,CommaMatch,
Garland,TX,"Collin County, Dallas County, Rockwall County",Dallas County,CommaMatch,
Wake Forest,NC,"Franklin County, Wake County",Wake County,CommaMatch,
Charleston,SC,"Berkeley County, Charleston County",Charleston County,CommaMatch,
Huntsville,AL,"Limestone County, Madison County",Madison County,CommaMatch,
Northglenn,CO,"Adams County, Weld County",Adams County,CommaMatch,guess
Azle,TX,"Parker County, Tarrant County",Tarrant County,CommaMatch,
Midland,TX,"Martin County, Midland County",Midland County,CommaMatch,
Strasburg,CO,"Adams County, Arapahoe County",Arapahoe County,CommaMatch,guess
Woodland,WA,"Clark County, Cowlitz County",Cowlitz County,CommaMatch,
Tomball,TX,"Harris County, Montgomery County",Harris County,CommaMatch,
Morristown,TN,"Hamblen County, Jefferson County",Hamblen County,CommaMatch,
Sugar Creek,MO,"Clay County, Jackson County",Jackson County,CommaMatch,
Shreveport,LA,"Bossier Parish, Caddo Parish",Caddo Parish,CommaMatch,
Nitro,WV,"Kanawha County, Putnam County",Kanawha County,CommaMatch,
Summerville,SC,"Berkeley County, Charleston County, Dorchester County",Dorchester County,CommaMatch,
Odessa,TX,"Ector County, Midland County",Ector County,CommaMatch,
Arab,AL,"Cullman County, Marshall County",Marshall County,CommaMatch,
Archdale,NC,"Guilford County, Randolph County",Guillford County,CommaMatch,
Springtown,TX,"Parker County, Wise County",Parker County,CommaMatch,
Durham,NC,"Durham County, Orange County, Wake County",Durham County,CommaMatch,
Amarillo,TX,"Potter County, Randall County",Potter County,CommaMatch,
Salem,OR,"Marion County, Polk County",Marion County,CommaMatch,
Goose Creek,SC,"Berkeley County, Charleston County",Berkely County,CommaMatch,
Brighton,CO,"Adams County, Weld County",Adams County,CommaMatch,
Cayce,SC,"Lexington County, Richland County",Lexington County,CommaMatch,
Arlington,GA,"Calhoun County, Early County",Calhoun County,CommaMatch,
Corpus Christi,TX,"Aransas County, Kleberg County, Nueces County, San Patricio County",Nueces County,CommaMatch,
Seagoville,TX,"Dallas County, Kaufman County",Dallas County,CommaMatch,
Humboldt,TN,"Gibson County, Madison County",Gibson County,CommaMatch,guess
Concord,VA,"Appomattox County, Campbell County",Campbell County,CommaMatch,
Lansing,MI,"Eaton County, Ingham County",Ingham County,CommaMatch,
Sioux Falls,SD,"Lincoln County, Minnehaha County",Minnehaha County,CommaMatch,
Johnson City,TN,"Carter County, Sullivan County, Washington County",Washington County,CommaMatch,
Mansfield,TX,"Ellis County, Johnson County, Tarrant County",Tarrant County,CommaMatch,
Phenix City,AL,"Lee County, Russell County",Russell County,CommaMatch,
Maiden,NC,"Catawba County, Lincoln County",Catawba County,CommaMatch,guess
Urbandale,IA,"Dallas County, Polk County",Polk County,CommaMatch,
Republic,MO,"Christian County, Greene County",Greene County,CommaMatch,
Raleigh,NC,"Durham County, Wake County",Wake County,CommaMatch,
Piedmont,AL,"Calhoun County, Cherokee County",Calhoun County,CommaMatch,
Thornton,CO,"Adams County, Weld County",Adams County,CommaMatch,
Lee's Summit,MO,"Cass County, Jackson County",Jackson County,CommaMatch,
Piedmont,SC,"Anderson County, Greenville County",Greeneville County,CommaMatch,guess
Eau Claire,WI,"Chippewa County, Eau Claire County",Eau Claire County,CommaMatch,
Westminster,CO,"Adams County, Jefferson County",Adams County,CommaMatch,guess
Weirton,WV,"Brooke County, Hancock County",Hancock County,CommaMatch,
Sullivan,MO,"Crawford County, Franklin County",Crawford County,CommaMatch,guess
Tualatin,OR,"Clackamas County, Washington County",Washington County,CommaMatch,
Port Arthur,TX,"Jefferson County, Orange County",Jefferson County,CommaMatch,
Franklin County,MO,NA,Franklin County,NoMatch,
Evangeline Parish,LA,NA,Evangeline Parish,NoMatch,
Gunlock,KY,NA,Magoffin County,NoMatch,
Sunset,TX,Inf,Montague County,NoMatch,
Orange County,FL,NA,Orange County,NoMatch,
Whitehaven,TN,NA,Shelby County,NoMatch,
